大唐狄公案,#genre#
第1集,https://svipsvip.ffzy-online5.com/20240206/23170_b8fbe7d4/2000k/hls/mixed.m3u8
第2集,https://svipsvip.ffzy-online5.com/20240206/23171_06db7749/2000k/hls/mixed.m3u8
第3集,https://svipsvip.ffzy-online5.com/20240206/23172_e8f3a8f5/2000k/hls/mixed.m3u8
第4集,https://svipsvip.ffzy-online5.com/20240206/23173_6b8b5034/2000k/hls/mixed.m3u8
第5集,https://svipsvip.ffzy-online5.com/20240207/23199_156d2957/2000k/hls/mixed.m3u8
第6集,https://svipsvip.ffzy-online5.com/20240207/23198_21cedfa8/2000k/hls/mixed.m3u8
第7集,https://svipsvip.ffzy-online5.com/20240208/23233_941e3cd2/2000k/hls/mixed.m3u8
第8集,https://svipsvip.ffzy-online5.com/20240208/23232_39e98539/2000k/hls/mixed.m3u8
第9集,https://svipsvip.ffzy-online5.com/20240211/23353_f4a56663/2000k/hls/mixed.m3u8
第10集,https://svipsvip.ffzy-online5.com/20240211/23352_052a03f9/2000k/hls/mixed.m3u8
第11集,https://svipsvip.ffzy-online5.com/20240212/23377_1c433586/2000k/hls/mixed.m3u8
第12集,https://svipsvip.ffzy-online5.com/20240212/23376_8b1e828c/2000k/hls/mixed.m3u8
第13集,https://svipsvip.ffzy-online5.com/20240213/23402_a209d76a/2000k/hls/mixed.m3u8
第14集,https://svipsvip.ffzy-online5.com/20240213/23401_cf427d52/2000k/hls/mixed.m3u8
第15集,https://svipsvip.ffzy-online5.com/20240214/23495_a8a27709/2000k/hls/mixed.m3u8
第16集,https://svipsvip.ffzy-online5.com/20240214/23494_44f967ba/2000k/hls/mixed.m3u8
第17集,https://svipsvip.ffzy-online5.com/20240215/23533_2418b53f/2000k/hls/mixed.m3u8
第18集,https://svipsvip.ffzy-online5.com/20240215/23532_0e56360e/2000k/hls/mixed.m3u8
第19集,https://svipsvip.ffzy-online5.com/20240219/23687_5e7abd4d/2000k/hls/mixed.m3u8
第20集,https://svipsvip.ffzy-online5.com/20240219/23686_8c200b85/2000k/hls/mixed.m3u8
第21集,https://svipsvip.ffzy-online5.com/20240220/23709_aa3da5e9/2000k/hls/mixed.m3u8
第22集,https://svipsvip.ffzy-online5.com/20240220/23708_f2f6b72d/2000k/hls/mixed.m3u8
第23集,https://svipsvip.ffzy-online5.com/20240221/23752_6f87ca7a/2000k/hls/mixed.m3u8
第24集,ttps://svipsvip.ffzy-online5.com/20240221/23751_e3a06251/2000k/hls/mixed.m3u8
第25集,ttps://svipsvip.ffzy-online5.com/20240222/23795_7592cb5d/2000k/hls/mixed.m3u8
第26集,https://svipsvip.ffzy-online5.com/20240222/23794_c8e39afe/2000k/hls/mixed.m3u8
第27集,https://svipsvip.ffzy-online5.com/20240223/23882_6cf14ad6/2000k/hls/mixed.m3u8
第28集,https://svipsvip.ffzy-online5.com/20240223/23881_6f76182c/2000k/hls/mixed.m3u8
第29集,https://svipsvip.ffzy-online5.com/20240223/23886_67a32540/2000k/hls/mixed.m3u8
第30集,https://svipsvip.ffzy-online5.com/20240223/23885_96be9ba4/2000k/hls/mixed.m3u8
第31集,https://svipsvip.ffzy-online5.com/20240223/23884_cceb05e5/2000k/hls/mixed.m3u8
第32集,https://svipsvip.ffzy-online5.com/20240223/23883_04851ac8/2000k/hls/mixed.m3u8


香港频道,#genre#

凤凰中文,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰资讯,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002187/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰中文,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8
凤凰资讯,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
凤凰中文,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
TVB翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
香港卫视HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视HKS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
经典功夫台,http://data.3g.yy.com/live/hls/1355002394/1355002394
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
埋堆堆1,https://live.metshop.top/huya/23749096
埋堆堆2,https://live.metshop.top/huya/23735126
